feature,importance
population_exposed,2388.4807487939324
rainfall_mm,1339.5436749734124
rainfall_7d_sum,526.1898888953688
demand_lag_7,216.7516406707687
demand_7d_avg,196.74412028665776
day_of_year,191.09150787649818
demand_lag_3,159.7240820581797
demand_lag_14,152.72358004181166
flood_incidents,112.23928353537619
rainfall_lag_7,61.68232712073306
demand_lag_1,37.7149347583916
rainfall_lag_3,29.10637246036007
rainfall_lag_14,28.603020769214144
rainfall_lag_1,11.829971649703404
month,6.691810652738215
river_level_m,4.8031888681313
is_monsoon,3.374951302978208
block_Chandbali,0.48252694298953436
river_3d_avg,0.379209219754299
block_Rajkanika,0.22450666130763097
block_Balikuda,0.21515832714938327
block_Ersama,0.19877280314328483
block_Astaranga,0.15591084808251823
road_access_score,0.028499412247575677
